sector,subsector,2024_asset-definition,Data available through,source_id,source_name,source_type,iso3_country,sector,subsector,start_time,end_time,lat,lon,geometry_ref,gas,emissions_quantity,temporal_granularity,activity,activity_units,emissions_factor,capacity,capacity_units,capacity_factor,capacity_factor_units,other1,other1_def,other2,other2_def,other3,other3_def,other4,other4_def,other5,other5_def,other6,other6_def,other7,other7_def,other8,other8_def,other9,other9_def,other10,other10_def,created_date,modified_date
fluorinated-gases,fluorinated-gases,fluorinated-gases-gadm-0-1-2,Website downloads,internal_identifier,N/A,,iso3_country_code,fluorinated-gases,fluorinated-gases,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,F-gases produced,Tonnes,t of CO2 per t of F-gas produced,Production of F-gases,Tonnes,1,unitless,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,forest-land-clearing,cleared-area-gadm-0-1-2,Website downloads,internal_identifier,GADM or GHS-FUA,,iso3_country_code,forestry-and-land-use,forest-land-clearing,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total living biomass carbon deforested,t CO2 in living biomass carbon,Emission efficiency factor (unitless),Total live biomass carbon in forested areas per ha,t CO2 / ha,deforested area,ha,Id: level 1 GADM,N/A	,Id: level 2 GADM,N/A	,Aggregation_type,,,,,,,,,,FUA_Area,square_km,FUA_population_2015,N/A,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,forest-land-degradation,degraded-area-gadm-0-1-2,Website downloads,internal_identifier,GADM or GHS-FUA,,iso3_country_code,forestry-and-land-use,forest-land-degradation,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total Living biomass carbon degraded,t CO2 in living biomass,Emission efficiency factor (unitless),Total live biomass carbon in forested areas per ha,t CO2 / ha,degraded area,ha,Id: level 1 GADM,N/A	,Id: level 2 GADM,N/A	,Aggregation_type,,,,,,,,,,FUA_Area,square_km,FUA_population_2015,N/A,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,forest-land-fires,forest-fire-area-gadm-0-1-2,Website downloads,internal_identifier,GADM or GHS-FUA,,iso3_country_code,forestry-and-land-use,forest-land-fires,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total Living biomass carbon burned,t CO2 in living biomass,Emission efficiency factor (unitless),Total live biomass carbon in forested areas per ha,t CO2 / ha,burned area,ha,Id: level 1 GADM,N/A	,Id: level 2 GADM,N/A	,Aggregation_type,,,,,,,,,,FUA_Area,square_km,FUA_population_2015,N/A,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,net-forest-land,net-forest-area-gadm-0-1-2,Website downloads,internal_identifier,GADM or GHS-FUA,,iso3_country_code,forestry-and-land-use,net-forest-land,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total living biomass carbon gained/lossed,t CO2 in living biomass,Emission efficiency factor (unitless),Total live biomass carbon in forested areas per ha,t CO2 / ha,area net gain/loss,ha,Id: level 1 GADM,N/A	,Id: level 2 GADM,N/A	,Aggregation_type,,,,,,,,,,FUA_Area,square_km,FUA_population_2015,N/A,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,net-shrubgrass,net-shrubgrass-gadm-0-1-2,Website downloads,internal_identifier,GADM or GHS-FUA,,iso3_country_code,forestry-and-land-use,net-shrubgrass,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total living biomass carbon gained/lossed,t CO2 in living biomass,Emission efficiency factor (unitless),Total live biomass carbon in shrubgrass areas per ha,t CO2 / ha,area net gain/loss,ha,Id: level 1 GADM,N/A	,Id: level 2 GADM,N/A	,Aggregation_type,,,,,,,,,,FUA_Area,square_km,FUA_population_2015,N/A,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,net-wetland,net-wetland-area-gadm-0-1-2,Website downloads,internal_identifier,GADM or GHS-FUA,,iso3_country_code,forestry-and-land-use,net-wetland,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total living biomass carbon gained/lossed,t CO2 in living biomass,Emission efficiency factor (unitless),Total live biomass carbon in wetland areas per ha,t CO2 / ha,area net gain/loss,ha,Id: level 1 GADM,N/A	,Id: level 2 GADM,N/A	,Aggregation_type,,,,,,,,,,FUA_Area,square_km,FUA_population_2015,N/A,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,removals,removals-area-gadm-0-1-2,Website downloads,internal_identifier,GADM or GHS-FUA,,iso3_country_code,forestry-and-land-use,removals,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total Living biomass carbon regenerated,t CO2 in living biomass,Emission efficiency factor (unitless),Total live biomass carbon per ha,t CO2 / ha,area regenerated,ha,Id: level 1 GADM,N/A	,Id: level 2 GADM,N/A	,Aggregation_type,,,,,,,,,,FUA_Area,square_km,FUA_population_2015,N/A,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,shrubgrass-fires,shrubgrass-fires-area-gadm-0-1-2,Website downloads,internal_identifier,GADM or GHS-FUA,,iso3_country_code,forestry-and-land-use,shrubgrass-fires,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total Living biomass carbon burned,t CO2 in living biomass,Emission efficiency factor (unitless),Total live biomass carbon in shrubgrass areas per ha,t CO2 / ha,burned area,ha,Id: level 1 GADM,N/A	,Id: level 2 GADM,N/A	,Aggregation_type,,,,,,,,,,FUA_Area,square_km,FUA_population_2015,N/A,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,forest-land-clearing-raster,cleared-area-grid-1km-by-1km,On request,,,,iso3_country_code,forestry-and-land-use,forest-land-clearing,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,,t CO2 in living biomass,Emission efficiency factor (unitless),,t CO2 / ha,deforested area,ha,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,forest-land-degradation-raster,degraded-area-grid-1km-by-1km,On request,,,,iso3_country_code,forestry-and-land-use,forest-land-degradation,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,,t CO2 in living biomass,Emission efficiency factor (unitless),,t CO2 / ha,degraded area,ha,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,forest-land-fires-raster,forest-fire-area-grid-1km-by-1km,On request,,,,iso3_country_code,forestry-and-land-use,forest-land-fires,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,,t CO2 in living biomass,Emission efficiency factor (unitless),,t CO2 / ha,burned area,ha,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,net-forest-land-raster,net-forest-area-grid-1km-by-1km,On request,,,,iso3_country_code,forestry-and-land-use,net-forest-land,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,,t CO2 in living biomass,Emission efficiency factor (unitless),,t CO2 / ha,area net gain/loss,ha,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,net-shrubgrass-raster,net-shrubgrass-grid-1km-by-1km,On request,,,,iso3_country_code,forestry-and-land-use,net-shrubgrass,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,,t CO2 in living biomass,Emission efficiency factor (unitless),,t CO2 / ha,area net gain/loss,ha,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,net-wetland-raster,net-wetland-area-grid-1km-by-1km,On request,,,,iso3_country_code,forestry-and-land-use,net-wetland,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,,t CO2 in living biomass,Emission efficiency factor (unitless),,t CO2 / ha,area net gain/loss,ha,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,removals-raster,removals-area-grid-1km-by-1km,On request,,,,iso3_country_code,forestry-and-land-use,removals,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,,t CO2 in living biomass,Emission efficiency factor (unitless),,t CO2 / ha,area regenerated,ha,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
forestry-and-land-use,shrubgrass-fires-raster,shrubgrass-fires-area-grid-1km-by-1km,On request,,,,iso3_country_code,forestry-and-land-use,shrubgrass-fires,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Air emissions which are reported in metric tonnes. Greenhouse gases:  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O) as well as all three gases combined and expressed in CO2-equivalents are available (100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials). Air pollutants: Particulate Matter (PM2.5, Black Carbon (BC), and Organic Carbon (OC), sulphur dioxide (SOx), Volatile Organic Compounds (VOCs), Carbon Monoxide (CO), Ammonia (NH3), and Nitrogen Oxides (NOx).        ","Quantity of air emission emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,,t CO2 in living biomass,Emission efficiency factor (unitless),,t CO2 / ha,burned area,ha,,,,,,,,,,,,,,,,,,,,,Date emissions source was added to the Climate TRACE database.,Last date on which any updates were made to the dataset for the specific emission source.
